,url,start_time,end_time,class_label
0,SpNYhh5nwBk, 50.000, 60.000,Animal
1,Y-5QMgGV1H0, 0.000, 10.000,Animal
2,2yRlkPqa6rQ, 20.000, 30.000,Animal
3,NYiIU62GHV4, 30.000, 40.000,Animal
4,x3c0szZ7VYI, 60.000, 70.000,Animal
5,TwyTItZeVXY, 50.000, 60.000,Animal
6,U80msVD7UwY, 330.000, 340.000,Animal
7,q5iETSg2uN4, 140.000, 150.000,Animal
8,BP4Z8KmDLHw, 25.000, 35.000,Animal
9,DEnosqybOB4, 70.000, 80.000,Animal
10,757Wj3J-gXk, 240.000, 250.000,Animal
11,reLEh-T1nvA, 160.000, 170.000,Animal
12,6QpVyMw0JNs, 16.000, 26.000,Animal
13,V6QKSFx_fo4, 10.000, 20.000,Animal
14,TIxoHcs1Bkg, 40.000, 50.000,Animal
15,eYaAJ39NHOc, 20.000, 30.000,Animal
16,aWgqsfvIOQo, 30.000, 40.000,Animal
17,bXMABYyMu7M, 90.000, 100.000,Animal
18,3KdlTPIqOpk, 12.000, 22.000,Animal
19,JOx5a9kDijg, 170.000, 180.000,Animal
20,ZP5UGiEtEVo, 60.000, 70.000,Animal
21,Nt5niDfwlC4, 20.000, 30.000,Animal
22,p6vfEgoyf3s, 40.000, 50.000,Animal
23,XHHLJBaXwL4, 20.000, 30.000,Animal
24,-A1G9vEhK58, 20.000, 30.000,Animal
25,prY1He2OBnI, 20.000, 30.000,Animal
26,vFIFOFcIUAU, 20.000, 30.000,Animal
27,xew30bs4YxQ, 10.000, 20.000,Animal
28,3kg_DR1rkPM, 30.000, 40.000,Animal
29,f1Lakc8ktbg, 170.000, 180.000,Animal
30,HdNTeW1-6IQ, 10.000, 20.000,Animal
31,0q87keOtUNQ, 21.000, 31.000,Animal
32,JvbwEdWjz2E, 0.000, 9.000,Animal
33,iKXel-thSWY, 0.000, 10.000,Animal
34,hQu-ekGOkl0, 30.000, 40.000,Animal
35,1NwoL7fn1Qk, 40.000, 50.000,Animal
36,4cUNt3-KMYk, 30.000, 40.000,Animal
37,71l5wQ7JfFY, 0.000, 10.000,Animal
38,2MFWzrk_KTM, 30.000, 40.000,Animal
39,s_vTgZ3Kbdg, 10.000, 20.000,Animal
40,KKq2WQpYg8E, 10.000, 20.000,Animal
41,6rfg93ZyE6c, 70.000, 80.000,Animal
42,k_EbjwcUErc, 20.000, 30.000,Animal
43,EZSFPprc6Qo, 60.000, 70.000,Animal
44,-2MX_uVcsms, 30.000, 40.000,Animal
45,D9aKpB9nL3I, 10.000, 20.000,Animal
46,6wQSp5eBT7k, 30.000, 40.000,Animal
47,JtJ5CNQoM8I, 10.000, 20.000,Animal
48,7pfmv7sX1YQ, 25.000, 35.000,Animal
49,WvkV5Og1Bds, 220.000, 230.000,Animal
50,fdMnzqOnjRY, 19.000, 29.000,Animal
51,_39Ec9DZ2UE, 180.000, 190.000,Animal
52,TLQc1-_CBfU, 0.000, 10.000,Animal
53,34o84pbjfUM, 10.000, 20.000,Animal
54,3W20yc8TE1s, 30.000, 40.000,Animal
55,6T2RL_LSsW0, 18.000, 28.000,Animal
56,OVrUF7FWxPU, 30.000, 40.000,Animal
57,Quz0-WxQMnE, 10.000, 20.000,Animal
58,PzUAXrbNGtY, 30.000, 40.000,Animal
59,ficohAr1yv0, 20.000, 30.000,Animal
60,dOfKwkhBS3w, 30.000, 40.000,Animal
61,8BPFtiA874s, 20.000, 30.000,Animal
62,uu_63r6M9nU, 20.000, 30.000,Animal
63,dnswh11-1AQ, 110.000, 120.000,Animal
64,usasw640oaU, 10.000, 20.000,Animal
65,bdyPJFQL9Kw, 30.000, 40.000,Animal
66,rZcEczgpnpg, 30.000, 40.000,Animal
67,bgT_FtwH0IM, 30.000, 40.000,Animal
68,qWn7vWTEwRQ, 30.000, 40.000,Animal
69,4Fyp0OTx6xs, 30.000, 40.000,Animal
70,O7DOoM-rajg, 40.000, 50.000,Animal
71,ZMEbVtp73LQ, 0.000, 10.000,Animal
72,ejN7dXMGoi8, 180.000, 190.000,Animal
73,_Yv6e3M6E4k, 80.000, 90.000,Animal
74,nBtVK56ty5o, 0.000, 10.000,Animal
75,Qb-VdsNmjKw, 0.000, 10.000,Animal
76,5tO4UUbgm-8, 30.000, 40.000,Animal
77,nVLNgAFbQrg, 30.000, 40.000,Animal
78,84Fw-jojR6E, 50.000, 60.000,Animal
79,foZ3pTY1hVs, 50.000, 60.000,Animal
80,3xzWES6Q0hY, 2.000, 12.000,Animal
81,8cTaWVqYr1w, 10.000, 20.000,Animal
82,nFObRheZKg8, 120.000, 130.000,Animal
83,V9DISlLJdyc, 20.000, 30.000,Animal
84,m8kROJWAUzg, 30.000, 40.000,Animal
85,JLVDbash3qI, 70.000, 80.000,Animal
86,P6RMMIiaeVw, 40.000, 50.000,Animal
87,lVdu_Pj9MEg, 40.000, 50.000,Animal
88,rRFPQUAozKs, 30.000, 40.000,Animal
89,aY0IDozYGcY, 100.000, 110.000,Animal
90,NuE900z3dds, 20.000, 30.000,Animal
91,sqweLgR8iK4, 150.000, 160.000,Animal
92,eNHxRgnkBT0, 60.000, 70.000,Animal
93,qrhNDhEwGsY, 110.000, 120.000,Animal
94,AOKkK-aCZls, 20.000, 30.000,Animal
95,rp7dM9FrxFw, 20.000, 30.000,Animal
96,4UbU5rEumW0, 30.000, 40.000,Animal
97,fm2DcGbAIOg, 30.000, 40.000,Animal
98,i1zgUcXQKAs, 20.000, 30.000,Animal
99,bclnfgvf51U, 290.000, 300.000,Animal
100,LEa45eQxsD4, 60.000, 70.000,Animal
101,0W_gYR6p-D0, 30.000, 40.000,Animal
102,hy7szSmYMZM, 380.000, 390.000,Animal
103,f6o8T8OSASw, 30.000, 40.000,Animal
104,OfPyR3WdeFQ, 0.000, 10.000,Animal
105,d_GGwRJWAl8, 50.000, 60.000,Animal
106,aI0Ya72izrs, 0.000, 10.000,Animal
107,Mx6ys7J6aw0, 30.000, 40.000,Animal
108,U9aL8Rzd3zc, 0.000, 10.000,Animal
109,DEmrzgFrTKY, 90.000, 100.000,Animal
110,EerY221VbC8, 60.000, 70.000,Animal
111,tggA9nysM2M, 10.000, 20.000,Animal
112,3dl0FxDjbsc, 30.000, 40.000,Animal
113,89z6-2XareY, 30.000, 40.000,Animal
114,HZKSKIEk6B0, 30.000, 40.000,Animal
115,LwmZy1Rniqc, 0.000, 10.000,Animal
116,IEETb6my_Y8, 160.000, 170.000,Animal
117,3JqaoZqWu-s, 0.000, 10.000,Animal
118,vVHB0dBr2-A, 50.000, 60.000,Animal
119,v4fkEMWHZFE, 20.000, 30.000,Animal
120,8Ta4sfj75y0, 30.000, 40.000,Animal
121,aPQUonY7d7Q, 0.000, 10.000,Animal
122,NazYCG1ROwo, 30.000, 40.000,Animal
123,HFqmvbAMqIE, 60.000, 70.000,Animal
124,4CWDa7F9yS4, 30.000, 40.000,Animal
125,1U0N-5o2Moc, 30.000, 40.000,Animal
126,Z_q6mo3EI1c, 0.000, 10.000,Animal
127,zB4kz0vEsTQ, 100.000, 110.000,Animal
128,YDsPLvuwr3Y, 30.000, 40.000,Animal
129,RuW8bTRrgIs, 90.000, 100.000,Animal
130,Uwz56w0A1ds, 100.000, 110.000,Animal
131,QOqEiZ8SnBM, 70.000, 80.000,Animal
132,FeIw9bNe4mU, 30.000, 40.000,Animal
133,Ay1cYP9Wb3s, 11.000, 21.000,Animal
134,x16f06a4tJA, 1.000, 11.000,Animal
135,4e376CnEPxE, 50.000, 60.000,Animal
136,-NTIidjslmY, 10.000, 20.000,Animal
137,2aX7tJtC_08, 60.000, 70.000,Animal
138,1Kxgh-Eciz0, 30.000, 40.000,Animal
139,Lj3XXQvlbRg, 100.000, 110.000,Animal
140,FTDP4GattEc, 30.000, 40.000,Animal
141,GlXcKqWBivQ, 30.000, 40.000,Animal
142,47oHinrJhJU, 1.000, 11.000,Animal
143,zOJkAxO-f_E, 30.000, 40.000,Animal
144,A-OeFhnlam4, 30.000, 40.000,Animal
145,ld5JtL9NPHk, 20.000, 30.000,Animal
146,ADBmiifY3JM, 21.000, 31.000,Animal
147,7UTWaQvUjoc, 16.000, 26.000,Animal
148,TXYUzEmk0Y4, 30.000, 40.000,Animal
149,olHNvsFb_g0, 30.000, 40.000,Animal
